Store,City,State,Product,Sales,Profit,Inventory,Date
UrbanMart Store 01,Jaipur,Rajasthan,Soap,52830.78,9171.76,305,12-07-2025
UrbanMart Store 03,Nagpur,Maharashtra,Cooking Oil 1L,50218.01,10255.5,414,26-03-2025
UrbanMart Store 12,Kolkata,West Bengal,Rice 5kg,25829.8,4785.55,121,16-08-2025
UrbanMart Store 10,Bangalore,Karnataka,Sugar 1kg,45415.12,6348.38,273,03-05-2025
UrbanMart Store 05,Chandigarh,Punjab,Sugar 1kg,29202.91,6337.69,188,14-12-2025
UrbanMart Store 10,Kolkata,West Bengal,Toothpaste,46627.44,9587.76,257,28-09-2025
UrbanMart Store 07,Nagpur,Maharashtra,Salt 1kg,13582.47,2321.69,446,09-05-2025
UrbanMart Store 01,Jaipur,Rajasthan,Toothpaste,52698.78,8479.66,52,31-12-2025
UrbanMart Store 09,Indore,Madhya Pradesh,Wheat Flour 5kg,18533.65,3755.35,139,19-08-2025
UrbanMart Store 09,Nagpur,Maharashtra,Salt 1kg,27373.41,6549.98,113,19-08-2025
UrbanMart Store 06,Bhopal,Madhya Pradesh,Rice 5kg,26064.02,3369.84,191,01-05-2025
UrbanMart Store 07,Pune,Maharashtra,Soap,15023.25,1708.7,50,29-11-2025
UrbanMart Store 06,Chandigarh,Punjab,Cooking Oil 1L,9980.78,1071.7,424,30-08-2025
UrbanMart Store 12,Indore,Madhya Pradesh,Cooking Oil 1L,46012.79,6617.65,315,03-01-2025
UrbanMart Store 02,Mumbai,Maharashtra,Bread,14507.98,1159.24,481,08-11-2025
UrbanMart Store 09,Hyderabad,Telangana,Wheat Flour 5kg,47018.01,4585.57,62,25-01-2025
UrbanMart Store 04,Hyderabad,Telangana,Coffee 200g,48046.15,6794.82,56,13-09-2025
UrbanMart Store 10,Ahmedabad,Gujarat,Rice 5kg,38653.39,6378.18,367,15-03-2025
UrbanMart Store 05,Hyderabad,Telangana,Rice 5kg,37658.96,3694.83,213,06-04-2025
UrbanMart Store 11,Jaipur,Rajasthan,Wheat Flour 5kg,32362.1,3952.08,488,27-09-2025
UrbanMart Store 09,Ahmedabad,Gujarat,Sugar 1kg,59323.23,9540.98,199,29-08-2025
UrbanMart Store 01,Jaipur,Rajasthan,Shampoo,58900.29,5933.03,8,02-07-2025
UrbanMart Store 02,Chennai,Tamil Nadu,Milk 1L,44510.58,7818.35,395,25-10-2025
UrbanMart Store 12,Chandigarh,Punjab,Soap,9737.76,1173.01,173,26-11-2025
UrbanMart Store 03,Indore,Madhya Pradesh,Sugar 1kg,41711.59,10267.89,245,20-11-2025
UrbanMart Store 03,Chandigarh,Punjab,Cooking Oil 1L,5659.83,1161.61,234,19-01-2025
UrbanMart Store 05,Delhi,Delhi,Rice 5kg,47884.33,10877.31,161,08-06-2025
UrbanMart Store 09,Hyderabad,Telangana,Salt 1kg,33495.78,3371.78,385,28-11-2025
UrbanMart Store 04,Bangalore,Karnataka,Soap,52004.03,3097.4,335,19-06-2025
UrbanMart Store 05,Pune,Maharashtra,Sugar 1kg,23345.11,5320.29,380,14-08-2025
UrbanMart Store 07,Chennai,Tamil Nadu,Cooking Oil 1L,30779.79,4601.72,473,23-09-2025
UrbanMart Store 05,Chandigarh,Punjab,Wheat Flour 5kg,44170.72,2905.79,308,03-04-2025
UrbanMart Store 09,Bangalore,Karnataka,Soap,7950.68,918.97,151,06-06-2025
UrbanMart Store 08,Surat,Gujarat,Detergent 1kg,26714.73,5021.11,179,17-08-2025
UrbanMart Store 01,Lucknow,Uttar Pradesh,Salt 1kg,54873.22,9491.44,222,21-05-2025
UrbanMart Store 11,Chandigarh,Punjab,Rice 5kg,6352.39,1127.57,186,20-09-2025
UrbanMart Store 12,Jaipur,Rajasthan,Cooking Oil 1L,57261.78,4498.25,311,14-12-2025
UrbanMart Store 08,Mumbai,Maharashtra,Cooking Oil 1L,5899.54,1213.55,187,05-07-2025
UrbanMart Store 07,Surat,Gujarat,Rice 5kg,37095.5,6892.8,485,09-07-2025
UrbanMart Store 06,Kolkata,West Bengal,Sugar 1kg,6459.35,500.85,187,23-07-2025
UrbanMart Store 06,Jaipur,Rajasthan,Bread,16477.48,1197.74,376,06-04-2025
UrbanMart Store 08,Ahmedabad,Gujarat,Shampoo,54985.47,4044.3,396,14-05-2025
UrbanMart Store 12,Kolkata,West Bengal,Milk 1L,59789.18,6404.34,469,09-09-2025
UrbanMart Store 04,Pune,Maharashtra,Cooking Oil 1L,51463.92,7225.97,460,16-08-2025
UrbanMart Store 02,Chandigarh,Punjab,Coffee 200g,58118.55,14373.59,341,27-06-2025
UrbanMart Store 12,Pune,Maharashtra,Biscuits,33445.94,7634.58,435,22-03-2025
UrbanMart Store 12,Lucknow,Uttar Pradesh,Noodles,42612.72,3614.33,185,18-09-2025
UrbanMart Store 04,Pune,Maharashtra,Milk 1L,47939.81,4666.81,252,14-01-2025
UrbanMart Store 06,Ahmedabad,Gujarat,Tea 250g,23396.85,4930.47,282,08-03-2025
UrbanMart Store 10,Bhopal,Madhya Pradesh,Wheat Flour 5kg,5813.39,753.6,367,03-09-2025
UrbanMart Store 09,Hyderabad,Telangana,Sugar 1kg,25747.14,4247.77,64,12-06-2025
UrbanMart Store 11,Pune,Maharashtra,Toothpaste,29018.33,4453.5,65,10-10-2025
UrbanMart Store 11,Surat,Gujarat,Cooking Oil 1L,46531.33,3527.38,257,29-01-2025
UrbanMart Store 02,Ahmedabad,Gujarat,Cooking Oil 1L,19639.22,1618.14,478,30-12-2025
UrbanMart Store 04,Chennai,Tamil Nadu,Biscuits,53905.7,11815.41,128,11-04-2025
UrbanMart Store 11,Ahmedabad,Gujarat,Bread,9259.88,1023.82,273,17-02-2025
UrbanMart Store 09,Jaipur,Rajasthan,Cooking Oil 1L,36324.89,6034.63,87,04-12-2025
UrbanMart Store 10,Lucknow,Uttar Pradesh,Noodles,37098.06,8106.15,288,22-01-2025
UrbanMart Store 01,Pune,Maharashtra,Rice 5kg,57015.72,11642.87,135,30-11-2025
UrbanMart Store 04,Chandigarh,Punjab,Tea 250g,26162.03,4651.56,254,18-11-2025
UrbanMart Store 09,Bangalore,Karnataka,Coffee 200g,57485.71,8426.77,412,17-12-2025
UrbanMart Store 07,Bangalore,Karnataka,Toothpaste,6232.44,386.3,225,01-08-2025
UrbanMart Store 08,Kolkata,West Bengal,Milk 1L,21731.17,1710.98,441,13-06-2025
UrbanMart Store 12,Indore,Madhya Pradesh,Soap,58571.7,4460.42,189,21-09-2025
UrbanMart Store 09,Pune,Maharashtra,Soap,16020.8,1193.62,230,07-05-2025
UrbanMart Store 03,Pune,Maharashtra,Rice 5kg,18832.3,2388.5,315,03-08-2025
UrbanMart Store 04,Indore,Madhya Pradesh,Noodles,11262.58,1300.68,295,10-06-2025
UrbanMart Store 04,Chandigarh,Punjab,Cooking Oil 1L,30899.4,4725.91,255,07-06-2025
UrbanMart Store 08,Mumbai,Maharashtra,Wheat Flour 5kg,56823.5,8585.4,494,04-05-2025
UrbanMart Store 04,Surat,Gujarat,Soap,4822.17,512.46,305,01-12-2025
UrbanMart Store 11,Kolkata,West Bengal,Bread,33128.06,7269.44,220,10-03-2025
UrbanMart Store 05,Lucknow,Uttar Pradesh,Soap,46303.69,5704.03,205,27-01-2025
UrbanMart Store 10,Ahmedabad,Gujarat,Milk 1L,23026.38,2480.41,197,16-09-2025
UrbanMart Store 08,Chandigarh,Punjab,Biscuits,18223.8,4516.19,348,09-11-2025
UrbanMart Store 02,Nagpur,Maharashtra,Wheat Flour 5kg,24846.42,5192.39,173,13-10-2025
UrbanMart Store 06,Chandigarh,Punjab,Cooking Oil 1L,13545.36,2056.52,256,21-01-2025
UrbanMart Store 01,Mumbai,Maharashtra,Cooking Oil 1L,43388.33,9145.96,265,22-08-2025
UrbanMart Store 03,Surat,Gujarat,Noodles,31899.33,3687.34,313,13-06-2025
UrbanMart Store 03,Hyderabad,Telangana,Tea 250g,44880.52,4929.98,172,17-09-2025
UrbanMart Store 09,Ahmedabad,Gujarat,Toothpaste,43106.91,4739.95,417,09-01-2025
UrbanMart Store 06,Chennai,Tamil Nadu,Coffee 200g,8357.07,1114.06,157,19-12-2025
UrbanMart Store 11,Mumbai,Maharashtra,Tea 250g,29526.23,7187.1,400,24-10-2025
UrbanMart Store 10,Delhi,Delhi,Detergent 1kg,4978.6,727.32,268,19-11-2025
UrbanMart Store 12,Surat,Gujarat,Sugar 1kg,50787.69,4040.42,348,05-05-2025
UrbanMart Store 01,Surat,Gujarat,Detergent 1kg,8373.94,450.41,160,03-08-2025
UrbanMart Store 03,Hyderabad,Telangana,Detergent 1kg,13825.72,2078.89,313,30-08-2025
UrbanMart Store 12,Lucknow,Uttar Pradesh,Rice 5kg,42934.96,6600.68,287,16-06-2025
UrbanMart Store 11,Kolkata,West Bengal,Biscuits,23855.84,5757.3,235,30-09-2025
UrbanMart Store 06,Ahmedabad,Gujarat,Soap,41200.38,9209.56,348,26-11-2025
UrbanMart Store 12,Bangalore,Karnataka,Tea 250g,30082.45,7263.93,142,13-10-2025
UrbanMart Store 05,Delhi,Delhi,Bread,46728.11,8924.14,353,27-12-2025
UrbanMart Store 08,Chennai,Tamil Nadu,Toothpaste,22230.58,5262.87,407,21-05-2025
UrbanMart Store 05,Pune,Maharashtra,Tea 250g,41244.09,5194.23,202,26-06-2025
UrbanMart Store 03,Bangalore,Karnataka,Rice 5kg,18682.56,3602.53,177,15-08-2025
UrbanMart Store 11,Bangalore,Karnataka,Detergent 1kg,29786.6,2693.11,275,19-05-2025
UrbanMart Store 09,Lucknow,Uttar Pradesh,Bread,9961.83,1724.75,300,03-05-2025
UrbanMart Store 04,Mumbai,Maharashtra,Coffee 200g,54500.68,5184.89,119,27-01-2025
UrbanMart Store 02,Hyderabad,Telangana,Soap,43606.77,3057.23,394,12-03-2025
UrbanMart Store 01,Ahmedabad,Gujarat,Noodles,11160.58,2015.36,450,01-09-2025
UrbanMart Store 08,Jaipur,Rajasthan,Milk 1L,45842.84,4925.77,146,27-11-2025
